City,Longitude,Latitude,Region,Country,Address,AirQuality,WaterPollution
Manila,14.5995124,120.9842195,Metro Manila,Philippines,Manila Metro Manila Philippines ,17.0157068063,83.7431693989
Antipolo,14.6254827,121.1244847,,Philippines,Antipolo  Philippines ,60.2941176471,75
Guatemala City,14.6349149,-90.5068824,Guatemala Department,Guatemala,Guatemala City Guatemala Department Guatemala ,39.2857142857,69.53125
Marikina,14.65073,121.1028546,Metro Manila,Philippines,Marikina Metro Manila Philippines ,83.3333333333,66.6666666667
Malabon,14.6680747,120.9658454,Metro Manila,Philippines,Malabon Metro Manila Philippines ,25,50
Quezon City,14.6760413,121.0437003,Metro Manila,Philippines,Quezon City Metro Manila Philippines ,23.8095238095,80.1282051282
Valenzuela,14.7010556,120.9830225,Metro Manila,Philippines,Valenzuela Metro Manila Philippines ,48.6842105263,88.1578947368
Dakar,14.716677,-17.4676861,Dakar,Senegal,Dakar Dakar Senegal ,10.3448275862,82
Caloocan,14.7565784,121.0449768,Metro Manila,Philippines,Caloocan Metro Manila Philippines ,25,83.3333333333
Hubli,15.3647083,75.1239547,Karnataka,India,Hubli Karnataka India ,26.7857142857,69.4444444444
Sanaa,15.3694451,44.1910066,,Yemen,Sanaa  Yemen ,41.6666666667,91.6666666667
Tarlac City,15.4754786,120.5963492,,Philippines,Tarlac City  Philippines ,56.25,75
Khartoum,15.5006544,32.5598994,Khartoum,Sudan,Khartoum Khartoum Sudan ,42.8571428571,78.125
Da Nang,16.0544563,108.0717219,,Vietnam,Da Nang  Vietnam ,50,51.1904761905
Baguio,16.4023332,120.5960071,Cordillera Administrative Region,Philippines,Baguio Cordillera Administrative Region Philippines ,26.8867924528,66.4893617021
Yangon,16.840939,96.173526,Yangon Region,Myanmar,Yangon Yangon Region Myanmar ,17.5925925926,78.5
Jizan,16.8893586,42.5705674,Jazan Province,Saudi Arabia,Jizan Jazan Province Saudi Arabia ,25,100
Belmopan,17.2510114,-88.7590201,Cayo District,Belize,Belmopan Cayo District Belize ,62.5,54.1666666667
Gulbarga,17.329731,76.8342957,,India,Gulbarga  India ,33.9285714286,76.9230769231
